productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extResistance
692938,Pitch Black 3-Pack Blister [Binacle],Pitch Black 3 Pack Blister Binacle,https://tcgplayer-cdn.tcgplayer.com/product/692938_200w.jpg,3,24688,https://cpt.tcgcsv.com/Nbz7,2026-07-17T04:10:35.46,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! Each blister comes with 3 booster packs and a promotional card.",196214157477.0,19.0,25.0,59.99,22.15,,Normal,,,,,,,,,,
692939,Pitch Black Booster Box,Pitch Black Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/692939_200w.jpg,3,24688,https://cpt.tcgcsv.com/Pbz7,2026-07-17T04:10:35.46,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! Each booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>",196214157514.0,188.06,225.0,999.0,204.23,,Normal,,,,,,,,,,
692940,Pitch Black Half Booster Boxes,Pitch Black Half Booster Boxes,https://tcgplayer-cdn.tcgplayer.com/product/692940_200w.jpg,3,24688,https://cpt.tcgcsv.com/Qbz7,2026-07-17T04:10:35.46,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! Each half booster box contains 18 booster packs. <em>(Each pack contains 10 random cards)</em>",196214157507.0,,,,,,,,,,,,,,,,
692941,Pitch Black Booster Box Case,Pitch Black Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/692941_200w.jpg,3,24688,https://cpt.tcgcsv.com/Rbz7,2026-07-17T04:10:35.46,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! Each booster box case contains 6 boxes of 36 packs each.<br>
Each Booster Pack contains 10 random cards.",10196214157504.0,1173.96,1411.68,1975.0,1174.98,,Normal,,,,,,,,,,
692942,Pitch Black Booster Bundle,Pitch Black Booster Bundle,https://tcgplayer-cdn.tcgplayer.com/product/692942_200w.jpg,3,24688,https://cpt.tcgcsv.com/Sbz7,2026-07-17T04:10:35.46,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! Expand your collection with this Booster Bundle containing <strong>six booster packs!</strong>",196214157484.0,32.99,44.0,111.0,41.17,,Normal,,,,,,,,,,
692943,Pitch Black Booster Bundle Case,Pitch Black Booster Bundle Case,https://tcgplayer-cdn.tcgplayer.com/product/692943_200w.jpg,3,24688,https://cpt.tcgcsv.com/Tbz7,2026-07-17T04:10:35.46,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! Each sealed Booster Bundle Case contains 25 bundle boxes.<br>
Expand your collection with this Booster Bundle containing <strong>six booster packs</strong>",10196214157481.0,850.0,974.5,2995.0,933.62,,Normal,,,,,,,,,,
692944,Pitch Black Booster Pack,Pitch Black Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/692944_200w.jpg,3,24688,https://cpt.tcgcsv.com/Vbz7,2026-07-17T04:10:35.46,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! Packs contain 10 random cards.",,5.81,7.93,15.0,5.83,,Normal,,,,,,,,,,
692945,Pitch Black Booster Pack Art Bundle [Set of 4],Pitch Black Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/692945_200w.jpg,3,24688,https://cpt.tcgcsv.com/Wbz7,2026-07-17T04:10:35.46,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! Collect 4 bundled packs.<br>
Each Booster Pack contains 10 random cards.",,26.5,39.95,52.0,42.8,,Normal,,,,,,,,,,
692946,Pitch Black Build & Battle Box,Pitch Black Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/692946_200w.jpg,3,24688,https://cpt.tcgcsv.com/Xbz7,2026-05-11T18:08:15.417,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! 
<br>Contents:<br>
• A 40-card ready-to-play deck, including 1 of 4 unique foil promo cards<br>
• 4 Pokémon booster packs<br>
• A code card for Pokémon TCG Live",196214157446.0,40.39,48.21,49.99,46.15,,Normal,,,,,,,,,,
692947,Pitch Black Elite Trainer Box,Pitch Black Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/692947_200w.jpg,3,24688,https://cpt.tcgcsv.com/Zbz7,2026-07-17T04:10:35.46,1,"Delve into Darkness Beyond Limits!<br>
Twinkling city lights and a starry sky become obscured in darkness as Mega Darkrai ex arrives with mystery and malice! But Mega Zeraora ex fights back with thunderous strikes of lightning, leading the way for Mega Chandelure ex, Mega Excadrill ex, and more to join the fray. Shadows deepen and nightmares become reality in the Pokémon TCG: Mega Evolution—Pitch Black expansion! The Pokémon Elite Trainer Box includes:<br>
• 9 Pokémon booster packs<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player's guide to the expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A collector's box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live",196214157422.0,69.99,85.0,222.0,78.8,,Normal,,,,,,,,,,
